INFO 2025-05-24 19:23:16,005 autoreload Watching for file changes with StatReloader
INFO 2025-05-24 19:27:47,793 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 36019
INFO 2025-05-26 14:14:28,627 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 15:31:23,327 basehttp "GET /system/dashboard/ HTTP/1.1" 200 19507
INFO 2025-05-26 15:31:24,112 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 15:31:24,202 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 15:31:24,045 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 15:31:24,189 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 15:31:24,012 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 15:31:24,572 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 15:31:24,459 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 15:31:24,471 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
INFO 2025-05-26 15:31:24,809 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 15:31:25,219 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 15:31:24,642 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 15:31:25,254 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 15:31:25,327 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
INFO 2025-05-26 15:31:25,444 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 15:31:25,475 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 15:31:25,707 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
INFO 2025-05-26 15:31:25,605 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
INFO 2025-05-26 15:31:25,827 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
INFO 2025-05-26 15:31:25,808 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
INFO 2025-05-26 15:31:26,932 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
INFO 2025-05-26 15:38:33,935 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 15:38:57,936 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 15:40:53,096 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-05-26 15:40:53,141 basehttp "GET /login/?next=/ HTTP/1.1" 200 7738
WARNING 2025-05-26 15:40:54,461 log Not Found: /favicon.ico
WARNING 2025-05-26 15:40:54,461 basehttp "GET /favicon.ico HTTP/1.1" 404 13545
INFO 2025-05-26 15:41:00,312 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-05-26 15:41:00,334 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-05-26 15:41:00,353 basehttp "GET /login/?next=/ HTTP/1.1" 200 7738
INFO 2025-05-26 15:41:09,620 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-05-26 15:41:09,634 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-05-26 15:41:09,649 basehttp "GET /login/?next=/ HTTP/1.1" 200 7738
INFO 2025-05-26 15:42:33,710 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-05-26 15:42:33,719 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-05-26 15:42:33,738 basehttp "GET /login/?next=/ HTTP/1.1" 200 7738
INFO 2025-05-26 15:48:21,141 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 15:48:43,421 basehttp "GET /login/?next=/ HTTP/1.1" 200 7738
INFO 2025-05-26 15:48:49,931 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-05-26 15:48:49,951 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-05-26 15:48:50,117 basehttp "GET /system/dashboard/ HTTP/1.1" 200 19507
INFO 2025-05-26 15:48:50,310 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 15:48:50,393 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 15:48:50,417 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 15:48:50,420 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 15:48:50,420 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 15:48:50,445 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 15:48:50,420 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 15:48:50,457 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,439 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 15:48:50,469 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,468 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,461 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,492 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,480 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 15:48:50,505 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,511 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,519 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,493 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,519 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:48:50,510 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 304 0
INFO 2025-05-26 15:49:05,955 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-05-26 15:49:05,964 basehttp "GET /login/ HTTP/1.1" 200 7738
INFO 2025-05-26 15:49:45,538 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 15:50:01,087 basehttp "GET /system/dashboard/ HTTP/1.1" 200 19507
INFO 2025-05-26 15:50:01,285 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 15:50:01,376 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 15:50:01,478 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 15:50:01,487 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 15:50:01,507 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 15:50:01,575 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 15:50:01,763 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 15:50:01,767 basehttp "GET /static/js/notifications.js HTTP/1.1" 304 0
INFO 2025-05-26 15:50:01,772 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 15:50:02,185 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 15:50:02,285 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 15:50:02,285 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 15:50:02,424 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
INFO 2025-05-26 15:50:02,425 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
INFO 2025-05-26 15:50:02,449 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 15:50:02,640 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 15:50:02,655 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 15:50:02,702 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
INFO 2025-05-26 15:50:02,725 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
INFO 2025-05-26 15:50:02,749 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
INFO 2025-05-26 15:50:02,791 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
INFO 2025-05-26 15:50:02,790 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
INFO 2025-05-26 16:00:33,160 basehttp "GET /system/dashboard/ HTTP/1.1" 200 19507
INFO 2025-05-26 16:00:33,408 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 16:00:33,443 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 16:00:33,453 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 16:00:33,524 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 16:00:33,539 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 16:00:33,588 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 16:00:33,536 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 16:00:33,560 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 16:00:33,619 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
INFO 2025-05-26 16:00:33,504 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 16:00:33,655 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 16:00:33,661 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
INFO 2025-05-26 16:00:33,665 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 16:00:33,657 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 16:00:33,666 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 16:00:33,702 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
INFO 2025-05-26 16:00:33,711 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
INFO 2025-05-26 16:00:33,720 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
INFO 2025-05-26 16:00:33,834 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
INFO 2025-05-26 16:00:33,855 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
INFO 2025-05-26 16:00:47,675 basehttp "GET /attendance/history/ HTTP/1.1" 200 16081
INFO 2025-05-26 16:00:54,142 basehttp "GET /attendance/history/?date=2025-05-23 HTTP/1.1" 200 18763
INFO 2025-05-26 16:00:54,232 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 16:00:54,248 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 16:00:54,262 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 16:00:54,320 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 16:00:54,295 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 16:00:54,321 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 16:00:54,444 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 16:00:54,400 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 16:00:54,403 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
INFO 2025-05-26 16:00:54,426 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 16:00:54,455 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
INFO 2025-05-26 16:00:54,522 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 16:00:54,394 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 16:00:54,470 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
INFO 2025-05-26 16:00:54,491 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 16:00:54,590 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
INFO 2025-05-26 16:00:54,560 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
INFO 2025-05-26 16:00:54,622 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 16:00:54,627 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
INFO 2025-05-26 16:00:58,715 basehttp "GET /attendance/history/teacher/1/ HTTP/1.1" 200 24291
INFO 2025-05-26 16:01:04,852 basehttp "GET /attendance/history/teacher/1/?date=2025-05-23 HTTP/1.1" 200 17649
